The entries matching your request:  (A maximun result of 3000 entries is viewable at anyone time)
county name,manor name,estate name,start year,end year,wheat gross yield per seed ratio,barley gross yield per seed ratio,dredge gross yield per seed ratio,oats gross yield per seed ratio,source
Berkshire,Brightwell,Bishop of Winchester,1310,1311,6.1,2.88,3.12,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1311,1312,5.46,6.62,4.03,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1312,1313,5.69,2.64,3.26,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1313,1314,5.15,4.57,3.89,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1314,1315,4.1,5,2.81,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1315,1316,3.77,4.29,2.11,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1316,1317,4.98,4.68,1.58,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1317,1318,4.84,4.55,2.66,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1319,1320,2.89,4.56,2.49,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1323,1324,2.82,3.95,2.8,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1324,1325,5.94,6.73,3.2,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1325,1326,5.21,6.79,4.8,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1326,1327,6.5,8.07,5.55,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1327,1328,6.58,6.67,3.66,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1328,1329,5.54,6.51,4.97,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1329,1330,3.38,5.72,3.16,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1330,1331,5.63,5.07,3.69,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1331,1332,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1334,1335,4.59,6.74,3.03,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1335,1336,3.69,5.57,4.2,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1336,1337,5.03,6.99,4.92,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1337,1338,4.66,6.09,4.27,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1338,1339,3.69,6.01,5.11,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1339,1340,4.5,4.8,3.26,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1340,1341,3.68,5.72,3.15,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1341,1342,4.4,4.85,4.08,6.13,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1342,1343,3.83,5.41,3.98,4.75,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1343,1344,3.99,5.43,4.88,2.88,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1344,1345,3.86,6.68,4.83,2.7,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1345,1346,4.17,5.34,5.54,2.65,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1346,1347,2.99,5.9,3.23,2.4,Titow (to 1349); Farmer (from 1350)
