The entries matching your request:  (A maximun result of 3000 entries is viewable at anyone time)
county name,manor name,estate name,start year,end year,wheat gross yield per seed ratio,barley gross yield per seed ratio,dredge gross yield per seed ratio,oats gross yield per seed ratio,source
Hampshire,Alresford,Bishop of Winchester,1397,1398,2.33,,,2.48,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1398,1399,2.74,3.88,,3.13,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1399,1400,2.18,3.13,,3.4,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1400,1401,2.34,4.42,,2.68,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1401,1402,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1402,1403,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1403,1404,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1404,1405,3.89,,,1.88,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1405,1406,2.15,3.72,,2.62,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1406,1407,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1407,1408,2.12,3.2,,1.85,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1408,1409,2.59,3.45,,2.53,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1409,1410,3.48,3.12,,1.98,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1410,1411,2.74,3.86,,2.84,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1411,1412,3.59,3.79,,2.69,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1412,1413,3.08,3.12,,2.8,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1413,1414,2.8,3.68,,2.87,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1414,1415,3.1,3.82,,3.04,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1415,1416,2.89,3.57,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1416,1417,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1417,1418,2.43,3.42,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1418,1419,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1419,1420,2.86,,,2.65,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1420,1421,2.88,3.57,,2.1,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1421,1422,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1422,1423,3.51,4.55,,2.41,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1423,1424,3.71,3.09,,2.78,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1424,1425,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1425,1426,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1426,1427,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1427,1428,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1428,1429,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1429,1430,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1430,1431,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1431,1432,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1432,1433,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1433,1434,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1434,1435,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1435,1436,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1436,1437,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1437,1438,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1438,1439,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1439,1440,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1440,1441,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1441,1442,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1442,1443,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1443,1444,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1444,1445,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1445,1446,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1446,1447,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1447,1448,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1448,1449,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1449,1450,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1450,1451,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1451,1452,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1452,1453,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1453,1454,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1454,1455,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1455,1456,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1456,1457,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1457,1458,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1458,1459,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1210,1211,4.99,,,2,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1217,1218,3.39,4.17,,2.72,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1218,1219,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1219,1220,6.82,4.56,,3.46,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1223,1224,,,,6.73,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1224,1225,,,,8.12,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1225,1226,,,,5.13,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1231,1232,5.71,5.78,,5.55,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1235,1236,11.8,7.5,,6.48,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1244,1245,8.24,4.84,,3.7,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1245,1246,,9.24,,5.4,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1246,1247,,3.21,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1247,1248,7.57,5.67,,5.26,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1251,1252,,5,,4.5,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1252,1253,3.44,6.07,,4.17,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1253,1254,6.31,6.3,,3.04,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1256,1257,4.75,5.04,,3.45,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1264,1265,3.86,2.75,,3.17,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1267,1268,2.89,2.63,,2.78,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1268,1269,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1269,1270,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1270,1271,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1271,1272,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1272,1273,2.44,2.79,,2.46,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1273,1274,2.02,3.33,,3.11,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1276,1277,4.04,4.28,,3.52,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1282,1283,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1283,1284,2.99,4.07,,2.36,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1284,1285,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1285,1286,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1286,1287,4.7,6.48,,2.77,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1287,1288,4.2,4.16,,3.03,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1288,1289,3.62,3.78,,2.3,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1289,1290,2.98,3.07,,2.19,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1290,1291,3.92,2.61,,2.57,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1291,1292,3.25,1.99,,1.57,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1295,1296,4.9,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1296,1297,3.82,2.83,,1.94,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1297,1298,6.4,2.56,,2.14,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1298,1299,4.21,2.52,,2.27,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1299,1300,2.75,2.54,,2.69,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1300,1301,3.04,2.14,,1.77,Titow (to 1349); Farmer (from 1350)
Hampshire,Ashmansworth,Bishop of Winchester,1301,1302,3.28,1.49,,1.24,Titow (to 1349); Farmer (from 1350)
